title,abstract,claims,description
"{'rouge1': 0.06060606060606061, 'rouge2': 0.0, 'rougeL': 0.06060606060606061, 'rougeLsum': 0.06060606060606061}","{'rouge1': 0.5684754521963825, 'rouge2': 0.49350649350649356, 'rougeL': 0.5064599483204134, 'rougeLsum': 0.5064599483204134}","{'rouge1': 0.158311345646438, 'rouge2': 0.0977542932628798, 'rougeL': 0.13060686015831136, 'rougeLsum': 0.15435356200527706}","{'rouge1': 0.08797457768857668, 'rouge2': 0.06758113081298094, 'rougeL': 0.06840608797457769, 'rougeLsum': 0.08429503261414953}"
"{'rouge1': 0.16666666666666666, 'rouge2': 0.0909090909090909, 'rougeL': 0.16666666666666666, 'rougeLsum': 0.16666666666666666}","{'rouge1': 0.31223628691983124, 'rouge2': 0.11063829787234043, 'rougeL': 0.2109704641350211, 'rougeLsum': 0.23628691983122366}","{'rouge1': 0.41237113402061853, 'rouge2': 0.3022774327122153, 'rougeL': 0.32989690721649484, 'rougeLsum': 0.3793814432989691}","{'rouge1': 0.09028436018957346, 'rouge2': 0.06162597771983883, 'rougeL': 0.060900473933649286, 'rougeLsum': 0.08744075829383886}"
"{'rouge1': 0.37837837837837834, 'rouge2': 0.11428571428571428, 'rougeL': 0.27027027027027023, 'rougeLsum': 0.3243243243243243}","{'rouge1': 0.7145708582834331, 'rouge2': 0.5811623246492986, 'rougeL': 0.5868263473053892, 'rougeLsum': 0.5868263473053892}","{'rouge1': 0.1957905041605482, 'rouge2': 0.1558059774620284, 'rougeL': 0.17523250122369063, 'rougeLsum': 0.18600097895252077}","{'rouge1': 0.047350266541235496, 'rouge2': 0.03528304845538655, 'rougeL': 0.03998118532455315, 'rougeLsum': 0.04656632173095014}"
"{'rouge1': 0.18181818181818182, 'rouge2': 0.12903225806451613, 'rougeL': 0.18181818181818182, 'rougeLsum': 0.18181818181818182}","{'rouge1': 0.6900584795321638, 'rouge2': 0.5647058823529412, 'rougeL': 0.6081871345029239, 'rougeLsum': 0.6081871345029239}","{'rouge1': 0.195850622406639, 'rouge2': 0.15128844555278473, 'rougeL': 0.17261410788381745, 'rougeLsum': 0.187551867219917}","{'rouge1': 0.004826148952506307, 'rouge2': 0.004497586660816147, 'rougeL': 0.004826148952506307, 'rougeLsum': 0.004826148952506307}"
"{'rouge1': 0.2926829268292683, 'rouge2': 0.0, 'rougeL': 0.14634146341463414, 'rougeLsum': 0.14634146341463414}","{'rouge1': 0.3076923076923077, 'rouge2': 0.13333333333333333, 'rougeL': 0.2087912087912088, 'rougeLsum': 0.15384615384615385}","{'rouge1': 0.13907933398628797, 'rouge2': 0.11187438665358194, 'rougeL': 0.13712047012732614, 'rougeLsum': 0.13907933398628797}","{'rouge1': 0.018722597464154517, 'rouge2': 0.009956145549365887, 'rougeL': 0.014930678990401706, 'rougeLsum': 0.017537622941106765}"
"{'rouge1': 0.0, 'rouge2': 0.0, 'rougeL': 0.0, 'rougeLsum': 0.0}","{'rouge1': 1.0, 'rouge2': 1.0, 'rougeL': 1.0, 'rougeLsum': 1.0}","{'rouge1': 0.36291913214990135, 'rouge2': 0.2930693069306931, 'rougeL': 0.3274161735700197, 'rougeLsum': 0.34714003944773175}","{'rouge1': 0.08122605363984675, 'rouge2': 0.05940973553085473, 'rougeL': 0.06398467432950192, 'rougeLsum': 0.07854406130268199}"
"{'rouge1': 0.37499999999999994, 'rouge2': 0.2, 'rougeL': 0.25, 'rougeLsum': 0.25}","{'rouge1': 0.44984802431610943, 'rouge2': 0.1834862385321101, 'rougeL': 0.29179331306990886, 'rougeLsum': 0.34650455927051677}","{'rouge1': 0.2185246810870771, 'rouge2': 0.1265963353692393, 'rougeL': 0.16528008874098724, 'rougeLsum': 0.20965058236272877}","{'rouge1': 0.05156537753222836, 'rouge2': 0.03421052631578947, 'rougeL': 0.03604314654038412, 'rougeLsum': 0.0489344909234412}"
"{'rouge1': 0.25806451612903225, 'rouge2': 0.20689655172413793, 'rougeL': 0.25806451612903225, 'rougeLsum': 0.25806451612903225}","{'rouge1': 0.5568862275449102, 'rouge2': 0.44578313253012053, 'rougeL': 0.5149700598802395, 'rougeLsum': 0.49101796407185627}","{'rouge1': 0.2750301568154403, 'rouge2': 0.19588875453446195, 'rougeL': 0.2195416164053076, 'rougeLsum': 0.26055488540410127}","{'rouge1': 0.48886910062333044, 'rouge2': 0.21212121212121213, 'rougeL': 0.24220837043633128, 'rougeLsum': 0.4603739982190561}"
"{'rouge1': 0.20512820512820512, 'rouge2': 0.05405405405405406, 'rougeL': 0.15384615384615383, 'rougeLsum': 0.15384615384615383}","{'rouge1': 0.5506329113924051, 'rouge2': 0.3057324840764331, 'rougeL': 0.37974683544303794, 'rougeLsum': 0.37974683544303794}","{'rouge1': 0.2892690513219284, 'rouge2': 0.22741433021806853, 'rougeL': 0.2301710730948678, 'rougeLsum': 0.2690513219284604}","{'rouge1': 0.11778115501519755, 'rouge2': 0.07753705815279362, 'rougeL': 0.08928571428571429, 'rougeLsum': 0.11322188449848024}"
"{'rouge1': 0.2727272727272727, 'rouge2': 0.1, 'rougeL': 0.2727272727272727, 'rougeLsum': 0.2727272727272727}","{'rouge1': 0.5747663551401869, 'rouge2': 0.460093896713615, 'rougeL': 0.5046728971962616, 'rougeLsum': 0.45794392523364486}","{'rouge1': 0.232662192393736, 'rouge2': 0.18426966292134828, 'rougeL': 0.22371364653243844, 'rougeLsum': 0.22818791946308722}","{'rouge1': 0.05360513401283502, 'rouge2': 0.027438640654499687, 'rougeL': 0.036743425191896315, 'rougeLsum': 0.04781678620863219}"
